OverallQual,GarageArea,TotalBsmtSF,YearRemodAdd
9,774,1822,2007
5,308,894,1962
5,432,876,2006
8,857,1568,2002
7,843,1541,2002
7,400,1221,2005
6,440,1088,1965
7,484,696,1999
4,297,462,1973
6,440,735,1950
7,397,746,2004
6,460,1362,2006
6,442,756,1966
6,451,1367,1954
5,528,924,2005
5,588,1360,1978
7,400,728,2007
7,497,1188,1991
5,625,0,1950
6,528,612,2009
7,468,952,1950
5,384,861,1950
5,297,803,1995
6,420,848,2004
8,749,1482,2003
4,396,836,1951
7,398,1375,2004
6,396,735,1950
6,0,901,1998
8,499,1501,2000
6,308,1012,1950
7,672,824,1970
5,672,360,1996
7,650,1057,2001
5,576,911,1976
9,765,1838,2006
6,924,1296,2006
5,672,1148,1959
5,280,950,1971
8,471,777,1994
6,440,1065,1950
7,440,1316,2007
6,615,1442,1970
5,500,1078,2008
4,544,1040,1961
8,527,408,2002
7,240,651,1992
5,280,1056,1954
9,874,1792,2004
6,402,1216,1998
7,576,596,1950
7,434,847,2005
6,546,1208,1977
5,315,874,1958
4,240,796,2007
5,420,0,1950
5,273,190,1996
5,600,943,1979
7,603,866,2005
9,779,1393,1999
5,275,912,1958
5,308,0,1956
6,511,1405,1999
10,850,2076,2006
8,752,1318,1995
5,240,731,1950
8,538,1573,2007
6,389,1444,2006
10,880,1237,2000
6,477,585,2003
7,541,1525,2000
8,722,1571,2007
5,0,796,1950
5,432,994,1965
7,402,384,1992
4,364,648,2001
5,372,732,2005
6,484,1040,1999
9,694,2153,2006
5,200,676,1950
5,400,960,1952
5,336,1144,1963
6,576,1056,1980
4,0,693,1950
6,576,1479,1997
8,482,1594,2005
5,352,864,1972
8,750,1566,2008
6,497,723,1972
4,539,780,1950
5,180,939,2004
6,560,884,1950
5,386,955,1966
3,210,1007,1950
5,572,1056,1955
7,615,756,2006
7,865,1614,2006
8,1390,2042,2009
5,326,1073,1968
5,240,672,2001
6,550,1205,1970
4,0,528,2002
5,300,1150,1959
6,400,728,2005
7,588,944,2007
6,564,750,2006
5,375,1165,1953
6,398,839,2004
9,836,1104,2008
7,573,1560,2003
5,312,728,1995
4,286,630,2002
6,504,1143,1976
7,947,1063,2006
4,384,560,2000
8,550,1184,2007
7,936,1026,2005
8,898,1468,2009
5,539,0,1977
5,240,768,1995
7,438,1092,2007
4,440,795,1950
6,240,1064,1950
5,624,864,1958
7,440,1208,1998
6,264,483,2007
7,628,1210,1990
5,440,765,1970
8,779,1128,2002
9,840,1249,2006
4,352,907,1957
6,440,855,1976
5,540,1106,1962
4,684,858,1971
7,516,2223,1973
4,672,1005,1955
7,409,712,1996
5,384,1040,1965
5,461,1268,1960
7,578,874,2007
6,888,1012,1976
7,439,1385,2005
6,480,1436,1956
8,839,2109,1995
7,544,1573,2002
9,820,2330,2010
7,645,1057,1998
6,431,1291,1997
5,0,858,2008
6,280,560,1950
2,246,290,1950
6,440,672,1978
5,240,920,1950
6,645,1127,1964
6,525,547,2005
5,0,0,1965
6,441,844,1994
8,380,965,1998
6,0,912,1971
6,422,872,1997
5,576,912,2008
6,600,1461,1989
6,216,976,1990
6,397,1316,2006
5,450,768,1950
5,240,756,1950
8,865,1623,2006
7,400,660,2003
5,538,1013,1967
5,525,1120,1963
5,756,992,2000
4,0,546,2008
7,704,718,1998
5,576,845,2003
6,668,894,2007
6,264,672,1973
7,534,808,1977
8,556,1220,1996
5,487,1484,1971
5,506,1656,1973
6,210,818,2004
6,390,992,2000
7,576,832,2001
4,286,546,1973
5,252,1268,1989
7,550,799,1996
8,502,1657,2003
6,508,1478,1998
6,306,932,1950
7,526,1277,1970
7,630,1530,2004
5,484,1024,1983
5,528,840,1982
7,626,1314,2008
7,868,1391,2006
7,388,788,2005
6,420,848,2004
5,240,672,1997
7,252,1152,2006
5,180,660,1987
7,484,725,2004
7,740,1226,2009
6,444,832,2007
6,576,1158,2004
5,480,1154,1966
7,527,880,1999
6,431,773,1996
4,520,0,2003
5,300,816,1955
8,1014,728,1997
6,264,483,1973
5,0,644,1999
7,505,585,2007
7,440,744,1999
8,908,1976,2007
8,758,1563,2007
7,288,572,1950
7,270,776,2000
3,452,0,1955
9,706,1848,2006
5,264,630,1972
7,586,1332,1979
4,680,0,1959
5,430,1125,2007
7,480,600,2005
6,520,798,2004
7,525,1223,1994
6,240,972,2002
8,466,1128,1995
5,596,1144,1956
5,288,1062,1958
5,484,926,2001
8,592,1086,1998
5,240,1164,1950
5,840,952,1951
8,0,684,1987
6,540,880,2007
6,672,482,2000
6,480,1004,1970
4,305,747,1950
5,495,915,1950
5,440,1145,1950
7,445,1453,1986
8,670,1581,2002
8,825,1588,2006
6,264,588,1958
